5,safari,png,undefined,260,52,1543,80
10,safari,jpeg,undefined,283,37,443,52
15,safari,avif,undefined,249,66,379,77
20,safari,webp,undefined,304,119,416,123
25,safari,png,undefined,261,79,2226,82
30,safari,jpeg,undefined,253,58,492,76
35,safari,avif,undefined,308,120,578,132
40,safari,webp,undefined,247,40,442,50
45,safari,png,undefined,298,120,2392,125
50,safari,jpeg,undefined,250,66,528,77
55,safari,avif,undefined,265,30,463,51
60,safari,webp,undefined,258,63,452,79
65,safari,png,undefined,250,70,2150,80
70,safari,jpeg,undefined,259,52,519,77
75,safari,avif,undefined,250,46,422,51
80,safari,webp,undefined,246,41,434,48
85,safari,png,undefined,254,68,2215,78
90,safari,jpeg,undefined,253,76,483,80
95,safari,avif,undefined,254,66,506,78
100,safari,webp,undefined,221,10,429,50
109,safari,jpeg,undefined,254,51,515,77
114,safari,avif,undefined,244,44,472,52
119,safari,webp,undefined,254,54,455,79
124,safari,png,undefined,259,10,2139,50
129,safari,jpeg,undefined,250,62,445,77
134,safari,avif,undefined,236,45,459,50
139,safari,webp,undefined,253,43,384,49
144,safari,png,undefined,248,49,2169,54
148,safari,jpeg,undefined,284,100,523,104
153,safari,avif,undefined,259,50,436,78
158,safari,webp,undefined,310,119,475,122
163,safari,png,undefined,249,72,2137,77
168,safari,jpeg,undefined,317,129,569,135
173,safari,avif,undefined,257,17,449,48
178,safari,webp,undefined,264,9,468,51
183,safari,png,undefined,250,43,2048,51
188,safari,jpeg,undefined,226,39,457,51
193,safari,avif,undefined,259,54,427,80
198,safari,webp,undefined,253,62,412,77
203,safari,png,undefined,270,9,1968,80
208,safari,jpeg,undefined,249,74,454,81
213,safari,avif,undefined,265,52,478,84
218,safari,webp,undefined,301,126,459,129
223,safari,png,undefined,252,55,2388,77
228,safari,jpeg,undefined,265,8,518,50
232,safari,avif,undefined,247,42,499,49
237,safari,webp,undefined,250,55,467,78
242,safari,png,undefined,246,68,2217,77
247,safari,jpeg,undefined,235,44,434,48
252,safari,avif,undefined,252,52,462,78
257,safari,webp,undefined,250,74,420,82
262,safari,png,undefined,253,62,1615,76
267,safari,jpeg,undefined,253,51,406,78
272,safari,avif,undefined,222,8,366,51
277,safari,webp,undefined,243,9,355,50
282,safari,png,undefined,243,37,1632,48
287,safari,jpeg,undefined,253,63,409,80
292,safari,avif,undefined,255,10,383,48
297,safari,webp,undefined,289,88,415,92
302,safari,png,undefined,277,8,2282,53
307,safari,jpeg,undefined,270,53,502,87
