1,opera,png,undefined,198.3,14.7,1343,73.9
5,opera,jpeg,undefined,169.8,8.3,180,81.6
9,opera,avif,undefined,148.4,12.3,238,49.1
13,opera,webp,undefined,166.1,15.9,190,82.7
17,opera,png,undefined,198.9,13.2,972,89.1
21,opera,jpeg,undefined,154.2,11.6,157,79.6
25,opera,avif,undefined,170.4,7.9,146,78.7
29,opera,webp,undefined,196.5,13.8,141,107.6
33,opera,png,undefined,183.8,13.3,773,94.6
37,opera,jpeg,undefined,160.7,11.9,170,65.1
41,opera,avif,undefined,214.2,17.4,150,102.8
45,opera,webp,undefined,161.7,12.4,137,74.1
49,opera,png,undefined,183.8,11.1,1125,96.2
56,opera,avif,undefined,185.6,12.2,151,102
60,opera,webp,undefined,180.1,10.7,167,98.2
64,opera,png,undefined,183.5,11.9,1064,95.3
68,opera,jpeg,undefined,212,11.2,154,100.7
72,opera,avif,undefined,180.3,8,129,94.9
76,opera,webp,undefined,158,9.8,145,72.2
80,opera,png,undefined,220.7,15,969,108.8
87,opera,avif,undefined,182.7,9.5,152,87.5
97,opera,jpeg,undefined,180.9,13.4,196,94.5
101,opera,avif,undefined,181.4,13.6,155,98.8
105,opera,webp,undefined,195.2,15,156,108.3
109,opera,png,undefined,194.6,9,680,97.7
119,opera,webp,undefined,140.5,11.1,129,32.6
123,opera,png,undefined,197.3,9.9,613,105.9
127,opera,jpeg,undefined,218,12.2,161,107.4
134,opera,webp,undefined,167.9,11,132,81.6
138,opera,png,undefined,179.1,9.9,1083,92.7
142,opera,jpeg,undefined,196.7,8.8,187,105.2
146,opera,avif,undefined,163,8.1,194,67.3
153,opera,png,undefined,178.1,13.4,925,62.7
157,opera,jpeg,undefined,202.4,8.9,146,106.7
161,opera,avif,undefined,163.9,6.7,128,77.1
165,opera,webp,undefined,146,9.2,155,27.1
169,opera,png,undefined,167,9.6,896,84.4
173,opera,jpeg,undefined,171.9,10.3,143,84.5
183,opera,png,undefined,146.7,9.5,573,22.2
187,opera,jpeg,undefined,157.5,9.1,134,61.5
197,opera,png,undefined,181.7,8.8,812,92.4
201,opera,jpeg,undefined,163.2,20.3,183,37.2
205,opera,avif,undefined,157.3,11,151,37.7
209,opera,webp,undefined,180.5,11.2,142,46.7
213,opera,png,undefined,159.1,9.4,814,22.8
217,opera,jpeg,undefined,180.5,9.7,153,67
221,opera,avif,undefined,177.2,17.5,186,69
225,opera,webp,undefined,224,10.5,147,83
235,opera,avif,undefined,213.1,16,207,117.2
242,opera,png,undefined,180.4,14.1,971,59.4
255,opera,png,undefined,188.6,9.1,1295,100.8
259,opera,jpeg,undefined,186.9,9.1,250,92.1
263,opera,avif,undefined,184.6,9.8,198,87.9
267,opera,webp,undefined,144.5,13,204,45.2
271,opera,png,undefined,177.1,9.1,1112,90.8
281,opera,webp,undefined,203.8,11,158,91.9
288,opera,jpeg,undefined,183.1,8.9,205,97.4
292,opera,avif,undefined,172,6.4,167,84.9
299,opera,png,undefined,137.9,9.9,831,18.3
306,opera,avif,undefined,172,10.8,132,53.9
310,opera,webp,undefined,175.8,9.9,118,87.5
314,opera,png,undefined,164.7,12.1,732,79.9
318,opera,jpeg,undefined,205.1,9.9,133,106.5
322,opera,avif,undefined,203.2,14.2,130,120.7
329,opera,png,undefined,203.2,12.4,1249,111
336,opera,avif,undefined,210.4,22.1,165,104.5
343,opera,png,undefined,163.5,12.1,901,71.5
350,opera,avif,undefined,199.3,9.7,134,92.7
354,opera,webp,undefined,107.9,8,132,17.8
358,opera,png,undefined,202.1,17.2,1075,108.1
362,opera,jpeg,undefined,183.2,10.2,179,93.9
366,opera,avif,undefined,142.8,8.9,171,29.1
370,opera,webp,undefined,213.2,12.6,158,99.5
374,opera,png,undefined,184.7,8.2,1060,98.2
378,opera,jpeg,undefined,190.9,15.2,198,91.2
385,opera,webp,undefined,184.8,8.5,174,74.5
389,opera,png,undefined,185.6,7.9,885,102.9
