3,edge_chromium,png,160.9,8.4,1738,61.1
9,edge_chromium,jpeg,137.6,7.1,185,66.5
15,edge_chromium,avif,244.8,6.6,187,172.9
21,edge_chromium,webp,217.1,9.1,150,159
27,edge_chromium,png,177.5,8.7,1646,80.8
33,edge_chromium,jpeg,155.1,8.1,190,56.9
39,edge_chromium,avif,135,8.6,147,57.1
45,edge_chromium,webp,212.4,8.4,139,144
51,edge_chromium,png,211.2,11.3,1865,151.2
57,edge_chromium,jpeg,251.9,7.2,204,161.1
63,edge_chromium,avif,245.7,9,178,177.7
69,edge_chromium,webp,197,7.6,165,136.2
75,edge_chromium,png,173.2,8.7,1920,90.1
81,edge_chromium,jpeg,166.5,8.8,226,57.7
87,edge_chromium,avif,228.5,9.1,193,157.5
93,edge_chromium,webp,165,9.4,187,77.7
99,edge_chromium,png,240.3,8.6,2699,183
105,edge_chromium,jpeg,144.8,9.9,311,61.1
111,edge_chromium,avif,226.8,7.7,210,158.4
117,edge_chromium,webp,215.3,11.7,280,148.9
123,edge_chromium,png,151.2,10,1497,52.2
129,edge_chromium,jpeg,419.3,6.8,202,343.1
135,edge_chromium,avif,221.8,9.7,191,156.4
141,edge_chromium,webp,256.2,9.9,181,166
147,edge_chromium,png,286,9.2,1746,217.4
153,edge_chromium,jpeg,148.2,9,179,69.6
159,edge_chromium,avif,232.6,10.2,202,164.7
165,edge_chromium,webp,224.1,8.7,137,164.7
171,edge_chromium,png,193.5,8.1,1687,69.9
177,edge_chromium,jpeg,183.6,8.6,175,121.3
183,edge_chromium,avif,152.7,7.1,186,60.3
189,edge_chromium,webp,258.7,7.4,147,167.6
195,edge_chromium,png,193.3,7.3,1487,89.7
201,edge_chromium,jpeg,196.9,8.3,179,138
207,edge_chromium,avif,172.5,7.2,193,85.9
213,edge_chromium,webp,209.4,7.3,142,144.1
219,edge_chromium,png,137.8,7.1,2133,58.5
225,edge_chromium,jpeg,189.2,8.6,225,127.4
231,edge_chromium,avif,147.6,8.3,157,54.1
237,edge_chromium,webp,143.9,8.6,170,56
243,edge_chromium,png,226.5,8.6,1669,168.6
249,edge_chromium,jpeg,144.9,8.4,171,50.7
255,edge_chromium,avif,242,8.7,171,169.8
261,edge_chromium,webp,191.1,8.5,136,77
267,edge_chromium,png,336.9,12.6,1754,273.7
273,edge_chromium,jpeg,212.3,8.6,164,148.9
279,edge_chromium,avif,135.3,9.4,161,54.2
285,edge_chromium,webp,147,8.1,153,56.2
291,edge_chromium,png,222,8.6,1550,160.9
297,edge_chromium,jpeg,154.4,7.7,156,37.9
303,edge_chromium,avif,174.2,8.1,129,120.6
309,edge_chromium,webp,169.3,8.8,126,61.8
315,edge_chromium,png,162.1,8.6,1636,68
321,edge_chromium,jpeg,380.6,18.3,177,283.5
327,edge_chromium,avif,168.1,10,157,70.5
333,edge_chromium,webp,371.6,15.3,137,285
339,edge_chromium,png,224.3,9.2,1904,136
345,edge_chromium,jpeg,198.1,8.4,177,141.2
351,edge_chromium,avif,217.3,8.7,164,148.7
357,edge_chromium,webp,150.8,9.5,141,55.7
363,edge_chromium,png,182.9,9,1889,116.6
369,edge_chromium,jpeg,226.6,8.1,213,170.3
375,edge_chromium,avif,225.1,7.9,187,159
381,edge_chromium,webp,221.3,8.8,181,153.5
387,edge_chromium,png,239.9,9.2,1709,151.4
393,edge_chromium,jpeg,178.4,8.8,186,85.8
399,edge_chromium,avif,197.1,8.5,165,126.3
405,edge_chromium,webp,622.2,16.8,544,295.7
411,edge_chromium,png,244.6,8.2,2079,178.2
417,edge_chromium,jpeg,374.5,19.6,272,284.7
423,edge_chromium,avif,145.3,9.1,188,57.5
429,edge_chromium,webp,243.7,8.5,203,151.1
435,edge_chromium,png,225.4,9.4,2489,165.4
441,edge_chromium,jpeg,167.7,8.5,247,65.3
447,edge_chromium,avif,361.3,14.9,186,284.3
453,edge_chromium,webp,193.2,9.4,233,129.6
459,edge_chromium,png,271.3,9.3,1276,201.6
465,edge_chromium,jpeg,159.2,10,155,98.1
471,edge_chromium,avif,280.4,8,139,215.7
