0,opera,png,270.4,10.1,2168,48.4
6,opera,jpeg,375.8,13.5,348,77
12,opera,avif,300.9,9.5,299,86.8
18,opera,webp,334.8,8.9,319,68.3
24,opera,png,362.2,9.1,1939,100.7
30,opera,jpeg,302.7,8.7,336,57.4
36,opera,avif,324.8,8.8,286,73.2
42,opera,webp,309.3,9.2,303,80.2
48,opera,png,289.2,9.6,2139,60.8
54,opera,jpeg,258.2,6.9,336,13.2
60,opera,avif,325.8,8.4,322,73.1
66,opera,webp,289.1,8.2,328,47.8
72,opera,png,303.5,9.2,2219,89.2
78,opera,jpeg,386.8,10.3,394,153.4
84,opera,avif,310.6,8.5,330,62.7
90,opera,webp,470.1,9.1,384,187.5
96,opera,png,335.4,11.4,2871,99.2
102,opera,jpeg,339.4,9.2,515,74.2
108,opera,avif,306.3,8.4,427,71.7
114,opera,webp,316.8,9.7,443,53.2
120,opera,png,295.6,9.5,1623,60.5
126,opera,jpeg,398.6,9.4,426,148
132,opera,avif,301.3,11,315,69.7
138,opera,webp,335.7,8.5,350,73.5
144,opera,png,398.7,12,1871,155.9
150,opera,jpeg,335,8.3,339,89
156,opera,avif,345.6,9.3,300,81.7
162,opera,webp,300,9.3,303,71.9
168,opera,png,445,8.3,1891,156.9
174,opera,jpeg,287.5,8.6,342,38.4
180,opera,avif,295.3,6.4,310,62.7
186,opera,webp,315,8.6,310,76.8
192,opera,png,457.5,9.1,1614,186.8
198,opera,jpeg,294.2,9.2,335,51.5
204,opera,avif,397.8,7.8,301,167.6
210,opera,webp,335.2,7.9,313,50.8
216,opera,png,321.4,8.5,2623,61.6
222,opera,jpeg,320.4,8.5,394,62.5
228,opera,avif,302.8,9.1,326,52.6
234,opera,webp,317.5,9.1,347,60.7
240,opera,png,324.3,8.8,1896,65.2
246,opera,jpeg,315.6,8.8,365,47.3
252,opera,avif,309.7,9.9,305,70.3
258,opera,webp,326.3,8.9,323,75.9
264,opera,png,420.1,8.9,1839,166.7
270,opera,jpeg,408.3,9,339,158.5
276,opera,avif,354,8.8,343,80.6
